movie_name,recommend_movie
Avatar,"
Recommended Movies: 
The Abyss | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 7.1
The Terminator | Genres: 'Action','ScienceFiction','Thriller' | Rating: 7.3
Terminator 2: Judgment Day | Genres: 'Action','ScienceFiction','Thriller' | Rating: 7.7
Aliens | Genres: 'Action','Horror','ScienceFiction','Thriller' | Rating: 7.7
True Lies | Genres: 'Action','Thriller' | Rating: 6.8
Titanic | Genres: 'Drama','Romance','Thriller' | Rating: 7.5
The Wolverine | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 6.3
Superman Returns | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 5.4
Man of Steel | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 6.5
X-Men: Days of Future Past | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 7.5
"
Pirates of the Caribbean: At World's End,"
Recommended Movies: 
Pirates of the Caribbean: Dead Man's Chest | Genres: 'Action','Adventure','Fantasy' | Rating: 7.0
Pirates of the Caribbean: The Curse of the Black Pearl | Genres: 'Action','Adventure','Fantasy' | Rating: 7.5
The Lone Ranger | Genres: 'Action','Adventure','Western' | Rating: 5.9
Rango | Genres: 'Adventure','Animation','Comedy','Family','Western' | Rating: 6.6
The Mexican | Genres: 'Action','Comedy','Crime','Romance' | Rating: 5.8
The Weather Man | Genres: 'Comedy','Drama' | Rating: 6.0
The Scorpion King | Genres: 'Action','Adventure','Fantasy' | Rating: 5.3
The 13th Warrior | Genres: 'Action','Adventure','Fantasy' | Rating: 6.4
The Hobbit: An Unexpected Journey | Genres: 'Action','Adventure','Fantasy' | Rating: 7.0
Spider-Man 3 | Genres: 'Action','Adventure','Fantasy' | Rating: 5.9
"
Spectre,"
Recommended Movies: 
Skyfall | Genres: 'Action','Adventure','Thriller' | Rating: 6.9
Road to Perdition | Genres: 'Crime','Drama','Thriller' | Rating: 7.3
Revolutionary Road | Genres: 'Drama','Romance' | Rating: 6.7
Jarhead | Genres: 'Drama','War' | Rating: 6.6
Away We Go | Genres: 'Comedy','Drama','Romance' | Rating: 6.7
American Beauty | Genres: 'Drama' | Rating: 7.9
The Art of War | Genres: 'Action','Adventure','Crime' | Rating: 5.6
Kick-Ass 2 | Genres: 'Action','Adventure','Crime' | Rating: 6.3
Speed | Genres: 'Action','Adventure','Crime' | Rating: 6.8
Indiana Jones and the Kingdom of the Crystal Skull | Genres: 'Action','Adventure' | Rating: 5.7
"
The Dark Knight Rises,"
Recommended Movies: 
The Dark Knight | Genres: 'Action','Crime','Drama','Thriller' | Rating: 8.2
Batman Begins | Genres: 'Action','Crime','Drama' | Rating: 7.5
The Prestige | Genres: 'Drama','Mystery','Thriller' | Rating: 8.0
Insomnia | Genres: 'Crime','Mystery','Thriller' | Rating: 6.8
Inception | Genres: 'Action','Adventure','Mystery','ScienceFiction','Thriller' | Rating: 8.1
Memento | Genres: 'Mystery','Thriller' | Rating: 8.1
Interstellar | Genres: 'Adventure','Drama','ScienceFiction' | Rating: 8.1
Takers | Genres: 'Action','Crime','Drama','Thriller' | Rating: 6.0
Mercury Rising | Genres: 'Action','Crime','Drama','Thriller' | Rating: 6.0
Harry Brown | Genres: 'Action','Crime','Drama','Thriller' | Rating: 6.7
"
John Carter,"
Recommended Movies: 
Finding Nemo | Genres: 'Animation','Family' | Rating: 7.6
WALL·E | Genres: 'Animation','Family' | Rating: 7.8
Divergent | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.9
Dune | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.5
Transformers | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Six-String Samurai | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.8
Transformers: Age of Extinction | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.8
The Hunger Games: Mockingjay - Part 2 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
The Hunger Games: Catching Fire | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Ant-Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.0
"
Spider-Man 3,"
Recommended Movies: 
Spider-Man 2 | Genres: 'Action','Adventure','Fantasy' | Rating: 6.7
Spider-Man | Genres: 'Action','Fantasy' | Rating: 6.8
Oz: The Great and Powerful | Genres: 'Adventure','Family','Fantasy' | Rating: 5.7
The Quick and the Dead | Genres: 'Action','Western' | Rating: 6.3
Evil Dead II | Genres: 'Comedy','Fantasy','Horror' | Rating: 7.6
Army of Darkness | Genres: 'Comedy','Fantasy','Horror' | Rating: 7.3
A Simple Plan | Genres: 'Crime','Drama','Thriller' | Rating: 6.9
The Evil Dead | Genres: 'Horror' | Rating: 7.3
For Love of the Game | Genres: 'Drama','Romance' | Rating: 6.3
Drag Me to Hell | Genres: 'Horror','Thriller' | Rating: 6.2
"
Tangled,"
Recommended Movies: 
The Angry Birds Movie | Genres: 'Animation','Family' | Rating: 5.9
Alpha and Omega | Genres: 'Animation','Family' | Rating: 5.3
Henry & Me | Genres: 'Animation','Family' | Rating: 3.0
Home on the Range | Genres: 'Animation','Family' | Rating: 5.7
Turbo | Genres: 'Animation','Family' | Rating: 6.1
Anastasia | Genres: 'Animation','Family' | Rating: 7.4
Barney's Great Adventure | Genres: 'Family' | Rating: 2.9
Monsters University | Genres: 'Animation','Family' | Rating: 7.0
Madagascar: Escape 2 Africa | Genres: 'Animation','Family' | Rating: 6.2
Madagascar | Genres: 'Animation','Family' | Rating: 6.6
"
Avengers: Age of Ultron,"
Recommended Movies: 
The Avengers | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Serenity | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 7.4
Captain America: Civil War | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.1
Captain America: The Winter Soldier | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.6
Pacific Rim | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.7
Independence Day: Resurgence | Genres: 'Action','Adventure','ScienceFiction' | Rating: 4.9
Captain America: The First Avenger | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Iron Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Megaforce | Genres: 'Action','Adventure','ScienceFiction' | Rating: 3.5
Iron Man 3 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.8
"
Harry Potter and the Half-Blood Prince,"
Recommended Movies: 
Harry Potter and the Order of the Phoenix | Genres: 'Adventure','Family','Fantasy','Mystery' | Rating: 7.4
The Legend of Tarzan | Genres: 'Action','Adventure' | Rating: 5.5
Harry Potter and the Goblet of Fire | Genres: 'Adventure','Family','Fantasy' | Rating: 7.5
Harry Potter and the Prisoner of Azkaban | Genres: 'Adventure','Family','Fantasy' | Rating: 7.7
Harry Potter and the Philosopher's Stone | Genres: 'Adventure','Family','Fantasy' | Rating: 7.5
Harry Potter and the Chamber of Secrets | Genres: 'Adventure','Family','Fantasy' | Rating: 7.4
Oz: The Great and Powerful | Genres: 'Adventure','Family','Fantasy' | Rating: 5.7
Inkheart | Genres: 'Adventure','Family','Fantasy' | Rating: 6.0
Percy Jackson: Sea of Monsters | Genres: 'Adventure','Family','Fantasy' | Rating: 5.9
The Indian in the Cupboard | Genres: 'Adventure','Family','Fantasy' | Rating: 5.9
"
Batman v Superman: Dawn of Justice,"
Recommended Movies: 
Man of Steel | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 6.5
300 | Genres: 'Action','Adventure','War' | Rating: 7.0
Legend of the Guardians: The Owls of Ga'Hoole | Genres: 'Adventure','Animation','Family','Fantasy' | Rating: 6.5
Sucker Punch | Genres: 'Action','Fantasy','Thriller' | Rating: 5.9
Dawn of the Dead | Genres: 'Action','Fantasy','Horror' | Rating: 6.8
Watchmen | Genres: 'Action','Mystery','ScienceFiction' | Rating: 7.0
Thor: The Dark World | Genres: 'Action','Adventure','Fantasy' | Rating: 6.8
Thor | Genres: 'Action','Adventure','Fantasy' | Rating: 6.6
The Scorpion King | Genres: 'Action','Adventure','Fantasy' | Rating: 5.3
Dungeons & Dragons: Wrath of the Dragon God | Genres: 'Action','Adventure','Fantasy' | Rating: 4.8
"
